NIS,median_gross_income
01000,"47,489"
02000,"48,957"
03000,"46,800"
03001,"45,062"
04000,"37,184"
10000,"47,669"
11000,"46,307"
11001,"54,033"
11002,"39,710"
11004,"57,172"
11005,"43,020"
11007,"45,005"
11008,"52,768"
11009,"51,582"
11013,"55,241"
11016,"47,404"
11018,"49,692"
11021,"63,078"
11022,"53,101"
11023,"54,715"
11024,"57,457"
11025,"57,408"
11029,"54,871"
11030,"50,539"
11035,"55,696"
11037,"54,608"
11038,"52,510"
11039,"56,011"
11040,"51,291"
11044,"51,420"
11050,"50,819"
11052,"50,264"
11053,"48,564"
11054,"50,623"
11055,"54,678"
11056,"47,321"
11057,"51,102"
12000,"50,790"
12002,"48,882"
12005,"59,462"
12007,"51,903"
12009,"52,421"
12014,"49,760"
12021,"48,456"
12025,"49,552"
12026,"50,445"
12029,"50,818"
12035,"54,831"
12040,"47,260"
12041,"54,709"
13000,"48,063"
13001,"47,016"
13002,"41,489"
13003,"47,390"
13004,"50,243"
13006,"46,487"
13008,"51,173"
13010,"49,718"
13011,"48,412"
13012,"46,671"
13013,"46,858"
13014,"45,905"
13016,"48,591"
13017,"50,300"
13019,"48,744"
13021,"47,674"
13023,"48,183"
13025,"48,862"
13029,"50,697"
13031,"50,293"
13035,"45,507"
13036,"47,534"
13037,"46,278"
13040,"43,574"
13044,"49,733"
13046,"54,089"
13049,"49,234"
13053,"47,675"
20001,"54,400"
20002,"55,964"
21000,"37,184"
21001,"33,365"
21002,"56,040"
21003,"40,960"
21004,"33,156"
21005,"42,710"
21006,"39,196"
21007,"37,408"
21008,"38,485"
21009,"43,759"
21010,"39,369"
21011,"34,050"
21012,"30,413"
21013,"32,775"
21014,"27,228"
21015,"32,312"
21016,"51,624"
21017,"56,503"
21018,"52,061"
21019,"60,054"
23000,"53,627"
23002,"49,942"
23003,"56,009"
23009,"55,462"
23016,"53,315"
23023,"56,823"
23024,"55,173"
23025,"52,776"
23027,"50,793"
23032,"56,110"
23033,"61,371"
23038,"60,430"
23039,"54,438"
23044,"48,832"
