,id,building_type,building_subtype,price,living_area,frontages,bedrooms,bathrooms,liv_room_surf,kitchen_type,showers,toilets,basement,terrace,garden,elevator,swimming_pool,status_build,furnished,energy_class,heating,flood_zone,surroundings,zipcode,municipality,province
0,10579542,apartment,apartment,210000.0,50.0,2.0,1.0,1.0,,1.0,1.0,1.0,,0,0,1.0,0.0,3.0,,4,Gas,Non flood zone,Urban,1030,Schaerbeek,Brussels Capital Region
1,10470376,house,house,,130.0,3.0,3.0,1.0,28.0,1.0,,1.0,1.0,0,0,,,2.0,,4,Gas,,,4400,Mons-Lez-Liège,Liège
2,10576898,apartment,apartment,235000.0,41.0,2.0,1.0,1.0,22.0,1.0,,1.0,,5,0,,,2.0,1.0,4,Electric,,Urban,9000,Gent,East Flanders
3,10482213,apartment,apartment,,58.0,,1.0,1.0,23.0,0.0,,1.0,1.0,0,0,1.0,,3.0,,6,Gas,,,4040,Herstal,Liège
4,10585245,apartment,apartment,235000.0,90.0,2.0,2.0,1.0,20.0,0.0,,1.0,,7,0,,,2.0,0.0,4,Gas,,"Living area (residential, urban or rural)",1020,Laeken,Brussels Capital Region
5,10584164,apartment,apartment,219000.0,70.0,2.0,2.0,1.0,17.0,1.0,,1.0,1.0,3,0,,,3.0,0.0,4,Gas,Non flood zone,Isolated,1140,Evere,Brussels Capital Region
6,10579918,apartment,apartment,223000.0,110.0,2.0,2.0,1.0,51.0,,,1.0,,0,0,,,2.0,,5,Gas,Non flood zone,,9230,Wetteren,East Flanders
7,10566160,apartment,apartment,220000.0,89.0,,2.0,1.0,,0.0,,1.0,,4,0,1.0,,3.0,0.0,7,Gas,,Urban,7333,Saint-Ghislain,Hainaut
8,10550931,apartment,apartment,215000.0,89.0,,2.0,1.0,,0.0,,1.0,,4,0,1.0,,3.0,0.0,7,Gas,,Urban,7333,Saint-Ghislain,Hainaut
9,10595120,apartment,apartment,229000.0,88.0,2.0,2.0,1.0,28.0,1.0,,1.0,1.0,0,0,0.0,0.0,2.0,0.0,1,,Non flood zone,Countryside,1070,Anderlecht,Brussels Capital Region
10,10598547,apartment,flat-studio,212000.0,34.0,,,,,1.0,1.0,1.0,,0,0,1.0,,2.0,,6,Gas,Non flood zone,Urban,1000,Bruxelles,Brussels Capital Region
11,10584165,apartment,apartment,219000.0,70.0,2.0,2.0,1.0,17.0,1.0,,1.0,1.0,3,0,,,3.0,0.0,4,Gas,Non flood zone,Isolated,1140,Evere,Brussels Capital Region
12,10574311,apartment,apartment,,55.0,,1.0,1.0,27.0,2.0,,1.0,,0,0,1.0,,2.0,,5,Electric,Non flood zone,,6900,Waha,Luxembourg
13,10576318,house,house,59000.0,144.0,2.0,4.0,1.0,29.0,0.0,1.0,1.0,,0,0,,,1.0,0.0,2,,Non flood zone,Urban,4020,Wandre,Liège
14,10557736,apartment,apartment,59000.0,60.0,2.0,2.0,1.0,25.0,2.0,1.0,1.0,,0,0,,,2.0,0.0,3,Electric,Non flood zone,Urban,4820,Dison,Liège
15,10579674,house,house,230000.0,178.0,4.0,4.0,1.0,44.0,2.0,,2.0,,0,0,,,2.0,0.0,1,Electric,,"Living area (residential, urban or rural)",7866,Lessines,Hainaut
16,10557735,apartment,apartment,49000.0,60.0,2.0,2.0,1.0,25.0,2.0,1.0,1.0,,0,0,,,2.0,0.0,4,Electric,Non flood zone,Urban,4820,Dison,Liège
17,10599163,apartment,apartment,224000.0,89.0,2.0,2.0,1.0,34.0,1.0,,1.0,1.0,5,0,1.0,0.0,3.0,0.0,5,Gas,,Urban,4020,Wandre,Liège
18,10394122,house,house,,140.0,4.0,3.0,1.0,,1.0,,1.0,1.0,0,0,,,2.0,,3,,,,4180,Hamoir,Liège
19,10554728,house,house,,120.0,2.0,2.0,1.0,30.0,1.0,1.0,2.0,1.0,12,80,0.0,0.0,0.0,1.0,2,Fuel oil,Non flood zone,Isolated,4040,Herstal,Liège
